,shop_name,creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
215,BerniesMittensCo,2021-01,1,1,USD,True,,-99,0,None
216,JeremyMckeeArt,2021-01,1,0,USD,True,,-99,0,None
217,SouthernHydeDesigns,2021-01,4,0,USD,True,Thank you for your order!,-99,0,None
218,CrafDeeTreasures,2021-01,10,0,AUD,False,,-99,0,None
219,GracieStoreHand,2021-01,1,0,USD,False,,-99,0,None
220,ShoeFash,2021-01,4,0,USD,True,,-99,0,None
221,YourLivingAlbum,2021-01,1,0,USD,False,,-99,0,None
222,Justinshop69,2021-01,1,0,USD,True,,-99,0,None
223,JameyBernecky11,2021-01,1,0,USD,True,,-99,0,None
224,JSternRaffShopArt,2021-01,1,0,USD,True,,-99,0,None
225,KreationsByTricia,2021-01,2,0,USD,True,,-99,0,None
226,WhiteCobra5282,2021-01,17,0,USD,False,,-99,0,None
227,JermaineDomaine,2021-01,9,0,USD,True,,-99,0,None
228,LindsayUnitedKingdom,2021-01,1,0,GBP,False,,-99,0,None
229,nobrpresets,2021-01,2,3,EUR,False,,-99,1,None
230,JanetPurdieDesigns,2021-01,1,0,GBP,False,,-99,0,None
231,ClaytonHandy,2021-01,1,0,CAD,False,,-99,0,None
232,DEngelhardtSHOP,2021-01,0,0,USD,False,,-99,-99,None
233,TaqwaBestStudioShop,2021-01,1,0,USD,False,,-99,0,None
234,ZilliC4,2021-01,1,0,EUR,False,,-99,0,None
235,AllieMaddoxStore,2021-01,1,0,USD,False,,-99,0,None
236,JDFVBDF,2021-01,2,0,USD,False,,-99,0,None
237,NASTEApparel,2021-01,11,1,USD,True,,-99,0,None
238,OliviaSutthery,2021-01,1,0,CAD,False,,-99,0,None
239,MuratMagenta,2021-01,1,0,EUR,False,,-99,0,None
240,MSBOSSSELER,2021-01,2,0,USD,True,,-99,0,None
241,MarzEmbroidery,2021-01,1,0,USD,True,,-99,0,None
242,GothicCure,2021-01,6,0,EUR,False,,-99,0,None
243,RichardsUnitedStates,2021-01,2,0,USD,False,,-99,0,None
244,LVCDesign,2021-01,1,0,USD,False,,-99,0,None
245,EgyptLegotShopOwn,2021-01,1,0,CAD,False,,-99,0,None
246,GoldenCreativeCo,2021-01,0,0,USD,True,,-99,0,None
247,EugeneMcneely,2021-01,1,0,CAD,False,,-99,0,None
248,YusronSweetyDecor,2021-01,1,0,USD,False,,-99,0,None
249,SlothCatCreations,2021-01,3,0,USD,True,,-99,0,None
250,NaiveAtelier,2021-01,2,0,EUR,False,,-99,0,None
251,CustomLaserEtcDesign,2021-01,1,0,NZD,False,,-99,0,None
252,Cosand92,2021-01,14,2,USD,False,,-99,0,None
253,YahviEssentials,2021-01,4,0,USD,True,,-99,0,None
254,DannyPlanner,2021-01,3,0,USD,True,,-99,0,None
255,LedfordDesign,2021-01,1,0,USD,True,,-99,0,None
256,BanananaSHOPStore,2021-01,1,0,USD,False,,-99,0,None
257,JillBasileDesign,2021-01,1,0,USD,True,,-99,0,None
258,NeatfreakDesigns,2021-01,6,4,CAD,False,,-99,4,None
259,SandyDiazz,2021-01,1,0,USD,True,,-99,0,None
260,HandmadecafeShop,2021-01,0,0,USD,False,,-99,-99,None
261,SimplyNikoleDesigns,2021-01,1,0,USD,True,,-99,0,None
262,reinreinastudio,2021-01,0,0,USD,False,,-99,-99,None
263,TaralynnShop,2021-01,1,0,USD,True,,-99,0,None
264,TheCoffeeHouseLake,2021-01,1,0,GBP,False,,-99,0,None
265,LucysjewelsStore,2021-01,1,1,GBP,False,THANK YOU SO MUCH FOR PURCHASING FROM MY SHOP! 💗,-99,0,None
266,GracieWatsonStudio,2021-01,1,0,USD,True,,-99,0,None
267,TheJovelin,2021-01,1,0,TRY,False,,-99,0,None
268,MakeAmericaRedAgain,2021-01,29,2,USD,True,,-99,0,None
269,Marystricklandshop,2021-01,1,0,USD,True,,-99,0,None
270,CreartEna,2021-01,1,0,USD,True,,-99,0,None
271,GiftsLetterboxed,2021-01,1,0,GBP,False,,-99,0,None
272,BuntezVintage,2021-01,5,0,USD,True,,-99,0,None
273,Littlecraft1414,2021-01,10,0,GBP,False,,-99,0,None
274,DonaldSowellses,2021-01,1,0,USD,True,,-99,0,None
275,CauStore56,2021-01,6,0,USD,False,,-99,0,None
276,LivingGraceInc,2021-01,0,0,USD,True,𝐼𝑓 𝑦𝑜𝑢 ℎ𝑎𝑣𝑒 𝑎𝑛𝑦 𝑞𝑢𝑒𝑠𝑡𝑖𝑜𝑛 𝑓𝑒𝑒𝑙 𝑓𝑟𝑒𝑒 𝑡𝑜 𝑐𝑜𝑛𝑡𝑎𝑐𝑡 𝑢𝑠.,-99,0,None
277,DeniseZarateShop,2021-01,1,0,USD,True,,-99,0,None
278,YtVideoEdits,2021-01,1,0,GBP,False,,-99,0,None
279,BroBearMix,2021-01,3,0,USD,True,,-99,0,None
280,WinterTangerines21,2021-01,1,0,USD,False,,-99,0,None
281,themusicalmama,2021-01,1,0,USD,True,,-99,0,None
282,KretzhausPrints,2021-01,6,0,USD,True,,-99,0,None
283,LOSAArtUS,2021-01,1,0,USD,True,,-99,0,None
284,AmazstoreShop,2021-01,5,0,USD,False,,-99,0,None
285,dyer4333steven,2021-01,1,0,USD,True,,-99,0,None
286,MarkBurstonculla,2021-01,1,0,GBP,False,,-99,0,None
287,LawrenceUI,2021-01,1,0,USD,True,,-99,0,None
288,Kimbelia,2021-01,1,0,USD,False,,-99,0,None
289,Articfurs,2021-01,13,0,EUR,False,,-99,0,None
290,TeganStoreHand,2021-01,1,0,USD,False,,-99,0,None
291,JunipersGrove,2021-01,2,0,GBP,False,,-99,0,None
292,SelvedgedenimStore,2021-01,1,0,USD,True,,-99,0,None
293,ReelasoulStudio,2021-01,1,0,USD,True,,-99,0,None
294,DerekHouse9,2021-01,1,0,CAD,False,,-99,0,None
295,EdaLesch,2021-01,1,0,AUD,False,,-99,0,None
296,jewelrymadebytati,2021-01,2,0,USD,True,,-99,0,None
297,TimCookDesign,2021-01,1,0,USD,True,,-99,0,None
298,JupiterSkyStudio,2021-01,11,2,GBP,False,,-99,0,None
299,BeeDeeBooShop,2021-01,1,0,CAD,False,,-99,0,None
300,YtVideoEdits,2021-01,1,0,GBP,False,,-99,0,None
301,BroBearMix,2021-01,3,0,USD,True,,-99,0,None
302,WinterTangerines21,2021-01,1,0,USD,False,,-99,0,None
303,themusicalmama,2021-01,1,0,USD,True,,-99,0,None
304,KretzhausPrints,2021-01,6,0,USD,True,,-99,0,None
305,LOSAArtUS,2021-01,1,0,USD,True,,-99,0,None
306,AmazstoreShop,2021-01,5,0,USD,False,,-99,0,None
307,dyer4333steven,2021-01,1,0,USD,True,,-99,0,None
308,MarkBurstonculla,2021-01,1,0,GBP,False,,-99,0,None
309,LawrenceUI,2021-01,1,0,USD,True,,-99,0,None
310,Kimbelia,2021-01,1,0,USD,False,,-99,0,None
311,Articfurs,2021-01,13,0,EUR,False,,-99,0,None
312,TeganStoreHand,2021-01,1,0,USD,False,,-99,0,None
313,JunipersGrove,2021-01,2,0,GBP,False,,-99,0,None
314,SelvedgedenimStore,2021-01,1,0,USD,True,,-99,0,None
